点时间,批号,距离,方位,俯仰,多普勒速度,和幅度,信噪比,原始点数量
16:28:23.178174,277,522.691463,-86.24267578125,9.1680908203125,7.51,588109568,1040039,331
16:28:25.241776,277,537.265385,-86.24267578125,8.9703369140625,7.51,461690272,1010164,351
16:28:27.305391,277,555,-86.1932373046875,8.8055419921875,7.51,1138754048,1142690,421
16:28:29.373601,277,570.785294,-86.187744140625,8.9813232421875,6.14,695286848,1041492,502
16:28:31.432626,277,584.329245,-86.231689453125,8.2562255859375,7.51,500740128,1057298,366
16:28:33.496243,277,600,-86.2371826171875,8.1573486328125,7.51,470782560,1150102,375
16:28:35.559851,277,614.40283,-86.231689453125,7.8936767578125,7.51,618852160,1075345,458
16:28:37.628090,277,630,-86.187744140625,8.1298828125,6.14,469928672,1113031,288
16:28:39.691681,277,647.264634,-86.209716796875,7.9925537109375,6.14,313638272,1155725,274
16:28:41.750697,277,653,-86.627197265625,7.0257568359375,1.87,362812448,480024,237
16:28:43.721200,277,660,-87.879638671875,7.84423828125,1.53,73445552,663765,330
16:28:45.784825,277,660,-89.0716552734375,7.833251953125,1.53,198217904,977781,336
16:28:47.848446,277,660,-90.087890625,6.998291015625,1.53,128956096,855627,389
16:28:49.835127,277,668,-91.527099609375,6.844482421875,1.53,206549824,495451,203
16:28:51.894145,277,660,-92.39501953125,5.8612060546875,1.87,50961948,166333,260
