点时间,批号,滤波距离,滤波方位,滤波俯仰,全速度,X向速度,Y向速度,Z向速度,航向,识别结果
12:32:56.694670,9,413.0,7.014771,21.96167,0.0,0.0,0.0,0.0,0.0,0
12:32:59.878293,9,456.762334,8.175793,19.873452,10.812125,3.974194,9.971025,-1.298642,21.730955,0
12:33:02.984984,9,467.714118,8.034076,19.914139,3.321692,-0.226261,3.103949,1.161011,-4.169182,1
12:33:06.091714,9,475.324243,8.291008,19.271559,3.931574,1.311518,3.704889,-0.104837,19.493792,1
12:33:09.137255,9,495.048472,8.603016,18.118154,7.416364,2.100803,7.102414,-0.380536,16.477543,1
12:33:12.243951,9,529.51317,9.031634,16.841761,11.127817,2.98248,10.720082,-0.1139,15.547328,1
12:33:15.427575,9,574.433381,9.712636,15.211257,14.346149,4.446777,13.622718,-0.678014,18.077905,1
12:33:18.534280,9,620.979417,10.029447,14.19416,15.054417,3.573647,14.621962,0.250506,13.73401,1
12:33:21.645649,9,669.228857,10.718416,13.94235,15.151064,4.683642,14.297159,1.791504,18.138407,1
12:33:24.747652,9,705.770893,10.797692,13.219558,11.838294,2.753778,11.502022,0.515182,13.464138,1
12:33:27.854364,9,722.874785,10.562912,13.05268,5.444319,-0.010065,5.4389,0.242655,-0.106028,1
12:33:30.961042,9,727.790863,10.657091,12.946418,3.640893,0.807977,3.549748,0.050699,12.822932,1
12:33:34.072413,9,747.854966,11.017446,12.806483,7.235663,2.574241,6.71384,0.807744,20.977974,1
12:33:37.225306,9,788.876967,11.204211,12.234966,11.986961,3.27989,11.502598,0.787273,15.915153,1
12:33:40.327395,9,835.954391,11.181455,11.271591,14.622413,3.154857,14.274964,-0.295392,12.462402,1
12:33:43.438707,9,885.179799,11.236741,10.734945,15.205923,3.186121,14.867606,0.151726,12.095515,1
12:33:46.545395,9,929.399579,11.327549,10.594576,14.764926,3.09552,14.387804,1.188227,12.142034,1
